site,t_min
100Smoky2008,-36
100Smoky2009,-34.5
100Smoky2010,-38.4
100Smoky2012,-33.1
101Smoky2008,-39.1
101Smoky2009,-32.6
101Smoky2010,-38
101Smoky2012,-34.8
102Smoky2008,-39.3
102Smoky2009,-33
102Smoky2010,-34.6
102Smoky2012,-33.2
103Smoky2008,-39.3
103Smoky2009,-33.8
103Smoky2010,-34.7
103Smoky2012,-32.8
104Smoky2008,-38.7
104Smoky2009,-31.6
104Smoky2010,-36.1
104Smoky2012,-32
105Smoky2008,-39.1
105Smoky2009,-32
105Smoky2010,-37.8
105Smoky2012,-33.2
106Smoky2008,-36
106Smoky2009,-31.9
106Smoky2010,-35.3
106Smoky2012,-37.6
107Smoky2008,-35.8
107Smoky2009,-34.5
107Smoky2010,-35.3
108Smoky2008,-38.8
108Smoky2009,-32.7
108Smoky2010,-33.3
109Smoky2008,-35.6
109Smoky2009,-33.6
109Smoky2010,-34.3
10Crowsnest2008,-28.8
10Kananaskis2008,-31.1
10Peace2008,-39.7
10Smoky2008,-34.8
10Willmore2008,-37.6
110Smoky2008,-39.1
110Smoky2009,-33.7
110Smoky2010,-38
111Smoky2008,-38.8
111Smoky2009,-28.5
111Smoky2010,-37.8
112Smoky2009,-37.9
112Smoky2010,-38.2
113Smoky2009,-36.3
113Smoky2010,-34.3
114Smoky2009,-33.6
114Smoky2010,-38.1
115Smoky2009,-34.6
115Smoky2010,-38.2
116Smoky2009,-33.8
116Smoky2010,-38.1
117Smoky2009,-29.5
117Smoky2010,-38.2
118Smoky2009,-38.9
118Smoky2010,-36.1
119Smoky2009,-30.7
119Smoky2010,-34.9
11Crowsnest2008,-28.5
11Kananaskis2008,-29.8
11Peace2008,-39.8
11Smoky2008,-36.3
11Willmore2008,-37.2
120Smoky2009,-35.3
120Smoky2010,-36.1
121Smoky2009,-36.2
121Smoky2010,-35.2
122Smoky2009,-40
122Smoky2010,-36.1
123Smoky2009,-40.3
123Smoky2010,-36.1
124Smoky2009,-31
124Smoky2010,-36.8
125Smoky2009,-31.1
125Smoky2010,-36.6
126Smoky2009,-31.2
126Smoky2010,-35.5
127Smoky2010,-36.8
128Smoky2009,-31.9
128Smoky2010,-36.8
129Smoky2009,-31.6
12Crowsnest2008,-31
12Kananaskis2008,-29.4
12Peace2008,-39.8
12Smoky2008,-35.5
12Willmore2008,-36.2
12Woodlands2008,-33.7
13Crowsnest2008,-30
13Kananaskis2008,-29.8
13Peace2008,-41.6
13Smoky2008,-41.7
13Willmore2008,-36.5
13Woodlands2008,-37.2
14Crowsnest2008,-30.2
14Kananaskis2008,-30.6
14Peace2008,-38
14Smoky2008,-34.5
14Willmore2008,-37.9
15Crowsnest2008,-30
15Kananaskis2008,-30.2
15Peace2008,-38.3
15Smoky2008,-34.9
15Woodlands2008,-38.4
16Crowsnest2008,-31
16Kananaskis2008,-31.1
16Peace2008,-39.4
16Smoky2008,-35.6
16Willmore2008,-38.6
17Kananaskis2008,-29.2
17Peace2008,-38.1
17Smoky2008,-38.8
17Willmore2008,-36.1
17Woodlands2008,-36.2
18Kananaskis2008,-29
18Peace2008,-39.9
18Smoky2008,-39.9
18Willmore2008,-38.1
19Peace2008,-38.5
19Smoky2008,-37.2
19Willmore2008,-37.6
1Foothills2008,-39
1Kananaskis2008,-31
1Kananaskis2008,-29
1Peace2008,-38.9
1Slave Lake2008,-38.4
20Peace2008,-39.4
20Willmore2008,-36.5
21Peace2008,-40.4
21Smoky2008,-38.6
21Willmore2008,-36.3
21Woodlands2008,-38
22Peace2008,-40.8
22Smoky2008,-38.4
22Willmore2008,-36.3
22Woodlands2008,-36.1
23Peace2008,-43.2
23Smoky2008,-36
23Willmore2008,-36.3
23Woodlands2008,-35.9
24Peace2008,-40.1
24Smoky2008,-36.2
24Willmore2008,-38.5
24Woodlands2008,-38.4
25Peace2008,-43.1
25Smoky2008,-37.8
25Willmore2008,-36.5
25Woodlands2008,-35.7
26Peace2008,-42.3
26Smoky2008,-37.6
26Willmore2008,-36.4
27Peace2008,-39.1
27Smoky2008,-37
27Willmore2008,-38.5
28Peace2008,-40.6
28Smoky2008,-37.6
28Woodlands2008,-38.6
29Peace2008,-39.3
29Smoky2008,-38.6
29Willmore2008,-38.1
29Woodlands2008,-36.5
2Crowsnest2008,-31
2Foothills2008,-39.4
2Kananaskis2008,-31.1
2Kananaskis2008,-29.5
2Peace2008,-38.2
2Smoky2008,-38.3
2Woodlands2008,-36.6
30Clearwater2009,-31.4
30Clearwater2011,-32.4
30Crowsnest2009,-34.8
30Foothills2009,-37.1
30Foothills2011,-31.6
30FRIAA2011,-33.2
30Kananaskis2011,-32.2
30Peace2008,-39.2
30Peace2010,-35.1
30Peace2011,-40
30Slave Lake2009,-34.7
30Slave Lake2011,-30.9
30Smoky2008,-38.4
30Smoky2011,-31.5
30Willmore2008,-38.3
30Woodlands2008,-36.8
30Woodlands2011,-27.8
31Clearwater2009,-32.1
31Clearwater2013,-24.6
31Crowsnest2009,-31.6
31Foothills2009,-38.7
31Foothills2011,-31.3
31Foothills2012,-34.3
31Foothills2013,-27.3
31FRIAA2011,-33.6
31Kananaskis2011,-32.4
31Peace2008,-38.2
31Peace2010,-33.7
31Peace2011,-35.2
31Peace2012,-30.7
31Peace2013,-27.8
31Slave Lake2011,-30.8
31Slave Lake2012,-34.6
31Smoky2008,-39.2
31Smoky2011,-31.5
31Smoky2012,-32
31Smoky2013,-30.1
31Willmore2008,-37.9
31Woodlands2011,-28
31Woodlands2012,-37.3
31Woodlands2013,-25.6
32Clearwater2009,-32.2
32Clearwater2013,-24.6
32Crowsnest2009,-32.7
32Foothills2009,-36.1
32Foothills2011,-30.6
32Foothills2012,-34.3
32Foothills2013,-27.1
32FRIAA2011,-33.6
32Kananaskis2011,-32.6
32Peace2008,-39.6
32Peace2010,-34.5
32Peace2011,-35.2
32Peace2012,-29.4
32Peace2013,-27.7
32Slave Lake2009,-36.5
32Slave Lake2011,-32.8
32Slave Lake2012,-31.5
32Smoky2008,-38.3
32Smoky2011,-31.1
32Smoky2012,-35
32Smoky2013,-27.3
32Willmore2008,-37.9
32Woodlands2011,-29.2
32Woodlands2012,-36.2
32Woodlands2013,-27
33Clearwater2009,-32.5
33Clearwater2013,-25.1
33Crowsnest2009,-31.9
33Foothills2009,-41.1
33Foothills2011,-30.5
33Foothills2012,-32.2
33Foothills2013,-25.7
33FRIAA2011,-33.3
33Kananaskis2011,-32.6
33Peace2008,-40.8
33Peace2010,-35.6
33Peace2011,-35.7
33Peace2012,-31.9
33Peace2013,-28
33Slave Lake2009,-36.1
33Slave Lake2011,-30.7
33Slave Lake2012,-30.5
33Smoky2008,-36.7
33Smoky2011,-30.1
33Smoky2012,-35.4
33Smoky2013,-30.1
33Willmore2008,-37.9
33Woodlands2011,-29
33Woodlands2012,-36.5
33Woodlands2013,-27.2
34Clearwater2013,-25.1
34Crowsnest2009,-32.1
34Foothills2011,-29.6
34Foothills2012,-33.3
34Foothills2013,-26.3
34FRIAA2011,-32.5
34Kananaskis2011,-34
34Peace2008,-39.5
34Peace2009,-37.5
34Peace2010,-35.5
34Peace2011,-36.1
34Peace2012,-30.1
34Peace2013,-29
34Slave Lake2009,-35.9
34Slave Lake2011,-28.3
34Slave Lake2012,-30.4
34Smoky2008,-38.3
34Smoky2011,-31.9
34Smoky2012,-31.9
34Smoky2013,-29.5
34Willmore2008,-38.1
34Willmore2009,-36.8
34Woodlands2011,-32.2
34Woodlands2012,-36.3
34Woodlands2013,-26.3
35Crowsnest2009,-33.4
35Foothills2008,-40.3
35Foothills2011,-32.9
35Foothills2012,-36
35Foothills2013,-26.5
35FRIAA2011,-32.5
35Peace2008,-38.9
35Peace2009,-38.4
35Peace2010,-36.2
35Peace2011,-36.3
35Peace2012,-30
35Slave Lake2009,-38.7
35Slave Lake2011,-32.4
35Slave Lake2012,-30.5
35Smoky2008,-38.5
35Smoky2011,-32.3
35Smoky2012,-34
35Smoky2013,-29
35Willmore2009,-37
35Woodlands2011,-30.7
35Woodlands2012,-33.2
35Woodlands2013,-26.4
36Clearwater2013,-25.1
36Crowsnest2009,-32.8
36Foothills2011,-29.6
36Foothills2012,-35.3
36Foothills2013,-26.4
36FRIAA2011,-32.5
36Peace2009,-38.1
36Peace2010,-33.8
36Peace2011,-31.1
36Peace2012,-32.1
36Peace2013,-30.3
36Slave Lake2009,-38.9
36Slave Lake2011,-28.5
36Slave Lake2012,-31.6
36Smoky2008,-38
36Smoky2011,-33
36Smoky2012,-34.2
36Smoky2013,-28.2
36Willmore2008,-38.2
36Willmore2009,-39
36Woodlands2011,-33.5
36Woodlands2012,-36
36Woodlands2013,-26.6
37Crowsnest2009,-35.1
37Foothills2008,-38.6
37Foothills2011,-30.2
37Foothills2012,-35.3
37Foothills2013,-26.4
37FRIAA2011,-32.5
37Peace2009,-38.6
37Peace2010,-33.7
37Peace2011,-33.3
37Peace2012,-31.5
37Slave Lake2009,-33.8
37Slave Lake2011,-28.1
37Slave Lake2012,-28.6
37Smoky2008,-37.1
37Smoky2011,-31.6
37Smoky2012,-35.4
37Smoky2013,-28.7
37Willmore2009,-39.8
37Woodlands2011,-33.4
37Woodlands2012,-38.4
37Woodlands2013,-26.7
38Crowsnest2009,-35.3
38Foothills2008,-39.3
38Foothills2011,-29.7
38Foothills2012,-37
38Foothills2013,-26.2
38FRIAA2011,-33.2
38Peace2009,-38.4
38Peace2010,-34.5
38Peace2011,-33.9
38Peace2012,-30.9
38Slave Lake2009,-34.1
38Slave Lake2011,-28.7
38Slave Lake2012,-29.3
38Smoky2008,-36.9
38Smoky2011,-34.1
38Smoky2012,-34.5
38Smoky2013,-30.2
38Willmore2009,-38.7
38Woodlands2011,-33.4
38Woodlands2012,-36
39Crowsnest2009,-33
39Foothills2009,-35.3
39Foothills2011,-33.5
39Foothills2012,-32.8
39Foothills2013,-26.8
39FRIAA2011,-33.2
39Peace2009,-36.9
39Peace2010,-34.6
39Peace2011,-33.7
39Peace2012,-31.6
39Peace2013,-28.1
39Slave Lake2009,-36.1
39Slave Lake2011,-29.3
39Slave Lake2012,-31.8
39Smoky2008,-35.2
39Smoky2011,-32
39Smoky2012,-33.6
39Smoky2013,-28.5
39Willmore2008,-38.2
39Willmore2009,-39.9
39Woodlands2011,-30.4
39Woodlands2012,-34.7
39Woodlands2013,-27.1
3Crowsnest2008,-31.7
3Foothills2008,-38.3
3Kananaskis2008,-30.8
3Kananaskis2008,-29.4
3Peace2008,-37.9
3Smoky2008,-38.7
40Crowsnest2009,-32.8
40Foothills2009,-38.4
40Foothills2011,-31.9
40Foothills2012,-34.3
40Foothills2013,-28.1
40FRIAA2011,-33.3
40Peace2009,-36.7
40Peace2010,-33.6
40Peace2011,-30.6
40Peace2012,-29.4
40Peace2013,-29.1
40Slave Lake2009,-35.9
40Slave Lake2011,-29.1
40Slave Lake2012,-31.1
40Smoky2008,-35.4
40Smoky2011,-28.1
40Smoky2012,-34.3
40Smoky2013,-29
40Willmore2008,-38.4
40Woodlands2011,-33.3
40Woodlands2012,-37.8
40Woodlands2013,-24.8
41Crowsnest2009,-35.1
41Foothills2011,-32
41Foothills2012,-36.6
41Foothills2013,-27.5
41FRIAA2011,-33.2
41Peace2009,-36.3
41Peace2010,-34.9
41Peace2011,-31.2
41Peace2012,-29.1
41Peace2013,-30.8
41Slave Lake2009,-33
41Slave Lake2011,-29.2
41Slave Lake2012,-27.9
41Smoky2008,-36.4
41Smoky2011,-32
41Smoky2012,-33.9
41Smoky2013,-29.7
41Willmore2008,-38.6
41Willmore2009,-38
41Woodlands2011,-34.4
41Woodlands2012,-37.1
41Woodlands2013,-26.3
42Foothills2011,-30.2
42Foothills2012,-35.4
42Foothills2013,-26.6
42FRIAA2011,-32.6
42Peace2009,-36
42Peace2010,-33.2
42Peace2011,-31.4
42Peace2012,-29.8
42Peace2013,-30.5
42Slave Lake2009,-33.6
42Slave Lake2011,-28.7
42Slave Lake2012,-28.3
42Smoky2008,-36.5
42Smoky2011,-33.3
42Smoky2012,-35.2
42Smoky2013,-28.4
42Willmore2008,-38.8
42Willmore2009,-37.4
42Woodlands2011,-33.5
42Woodlands2012,-33.2
42Woodlands2013,-24.7
43Foothills2011,-29.7
43Foothills2012,-36.9
43Foothills2013,-24.9
43FRIAA2011,-33.3
43Kananaskis2009,-37.1
43Peace2009,-36.9
43Peace2010,-34.7
43Peace2011,-34.9
43Peace2012,-28.9
43Peace2013,-30.5
43Slave Lake2009,-33.4
43Slave Lake2011,-28.6
43Slave Lake2012,-31.4
43Smoky2008,-33.2
43Smoky2011,-32.4
43Smoky2012,-35
43Smoky2013,-28.7
43Willmore2008,-38.8
43Willmore2009,-35.1
43Woodlands2011,-33.4
43Woodlands2012,-36.2
43Woodlands2013,-25.7
44Foothills2008,-38.8
44Foothills2011,-29.8
44Foothills2012,-36.3
44Foothills2013,-24.6
44FRIAA2011,-32.9
44Kananaskis2009,-35.9
44Peace2009,-36.7
44Peace2010,-38.3
44Peace2011,-35.3
44Peace2012,-29.2
44Peace2013,-29.1
44Slave Lake2009,-33.4
44Slave Lake2011,-28.4
44Slave Lake2012,-29.1
44Smoky2008,-33.2
44Smoky2011,-31.2
44Smoky2012,-36
44Smoky2013,-28.2
44Willmore2009,-35
44Woodlands2011,-33.4
44Woodlands2012,-36.7
44Woodlands2013,-26.9
45Foothills2011,-30.4
45Foothills2012,-36.5
45Foothills2013,-25.7
45FRIAA2011,-34.1
45Kananaskis2009,-35.5
45Peace2009,-36.1
45Peace2010,-34.7
45Peace2011,-41
45Peace2012,-30.8
45Peace2013,-28.8
45Slave Lake2009,-33.4
45Slave Lake2011,-29.4
45Slave Lake2012,-30.5
45Smoky2008,-34.7
45Smoky2011,-30.6
45Smoky2012,-35.3
45Smoky2013,-29.5
45Willmore2008,-38.2
45Willmore2009,-35.4
45Woodlands2011,-33.4
45Woodlands2012,-34.2
45Woodlands2013,-28
46Foothills2011,-30.9
46Foothills2012,-35.7
46Foothills2013,-27
46FRIAA2011,-31.9
46Kananaskis2009,-36.3
46Peace2009,-39.2
46Peace2010,-39.5
46Peace2012,-30.8
46Peace2013,-27.4
46Slave Lake2009,-32.8
46Slave Lake2011,-28.9
46Slave Lake2012,-30.5
46Smoky2008,-36.2
46Smoky2011,-35.8
46Smoky2012,-32.3
46Smoky2013,-28.4
46Willmore2008,-36.7
46Willmore2009,-39.2
46Woodlands2011,-33.4
46Woodlands2012,-32.6
46Woodlands2013,-27.4
47Foothills2011,-32.5
47Foothills2012,-35.7
47Foothills2013,-24.9
47FRIAA2011,-31.8
47Kananaskis2009,-35.9
47Peace2009,-39.7
47Peace2010,-37.9
47Peace2012,-30.8
47Peace2013,-29.1
47Slave Lake2009,-32.9
47Slave Lake2012,-30.8
47Smoky2008,-35
47Smoky2011,-31.7
47Smoky2012,-32.6
47Smoky2013,-29.5
47Willmore2009,-34.9
47Woodlands2011,-33.5
47Woodlands2012,-35.6
47Woodlands2013,-26.9
48Foothills2011,-29.6
48Foothills2012,-35.5
48Foothills2013,-27.5
48FRIAA2011,-32
48Kananaskis2009,-36.3
48Peace2009,-41
48Peace2010,-37.9
48Peace2012,-29.5
48Slave Lake2009,-32.2
48Slave Lake2012,-30.6
48Smoky2008,-36.3
48Smoky2011,-31.4
48Smoky2012,-32.8
48Smoky2013,-30.2
48Willmore2009,-35.7
48Woodlands2011,-30.4
48Woodlands2012,-38.7
48Woodlands2013,-27
49Foothills2011,-28.5
49Foothills2012,-35.5
49Foothills2013,-25.7
49FRIAA2011,-31.6
49Kananaskis2009,-35.9
49Peace2009,-35.6
49Peace2010,-34.9
49Slave Lake2009,-32.8
49Slave Lake2012,-30.6
49Smoky2008,-36.9
49Smoky2011,-32
49Smoky2012,-32.8
49Smoky2013,-29.6
49Willmore2009,-35.9
49Woodlands2011,-31.4
49Woodlands2013,-26.2
4Foothills2008,-38.7
4Kananaskis2008,-31.1
4Peace2008,-37.6
4Smoky2008,-37.9
4Woodlands2008,-37.9
50Foothills2011,-34
50Foothills2012,-37
50Foothills2013,-25.2
50FRIAA2011,-31.6
50Kananaskis2009,-35.5
50Peace2009,-38.9
50Peace2010,-36.1
50Slave Lake2009,-33.8
50Slave Lake2012,-29.6
50Smoky2008,-36.9
50Smoky2011,-31.3
50Smoky2012,-32.6
50Smoky2013,-30
50Willmore2009,-38.4
50Woodlands2011,-28.9
50Woodlands2013,-25.4
51Foothills2011,-34.1
51Foothills2012,-36.6
51Foothills2013,-25.3
51FRIAA2011,-31.2
51Kananaskis2009,-35.6
51Peace2009,-35.9
51Peace2010,-33.3
51Peace2013,-27.7
51Slave Lake2009,-33.8
51Slave Lake2012,-29.6
51Smoky2008,-37.1
51Smoky2011,-30.8
51Smoky2012,-34
51Smoky2013,-27.8
51Willmore2009,-41.6
51Woodlands2011,-28.9
51Woodlands2013,-24.9
52Foothills2009,-40
52Foothills2011,-34
52Foothills2012,-36.1
52Foothills2013,-28.9
52FRIAA2011,-30.5
52Kananaskis2009,-35.9
52Peace2009,-40.4
52Peace2013,-28
52Slave Lake2009,-36.1
52Slave Lake2012,-31.6
52Smoky2008,-36.7
52Smoky2011,-31
52Smoky2012,-33.5
52Smoky2013,-27.3
52Woodlands2011,-32
52Woodlands2013,-26.8
53Foothills2011,-33.2
53Foothills2012,-36.5
53Foothills2013,-28.1
53FRIAA2011,-30.5
53Kananaskis2009,-35.9
53Peace2009,-36.8
53Slave Lake2009,-33.9
53Slave Lake2012,-29
53Smoky2008,-38
53Smoky2011,-30.8
53Smoky2012,-32.6
53Smoky2013,-27.7
53Willmore2009,-35.7
53Woodlands2011,-31.8
53Woodlands2013,-24.2
54Foothills2011,-32.1
54Foothills2013,-24.9
54FRIAA2011,-30.9
54Kananaskis2009,-36.7
54Peace2009,-35.8
54Slave Lake2009,-36.1
54Smoky2008,-37
54Smoky2011,-30.9
54Smoky2012,-35.2
54Smoky2013,-29.1
54Willmore2009,-35.8
54Woodlands2011,-32
